,ISO-code,population,GDPc,mort,Population growth,Fertility,Life expectancy,Suicide rate,Meat consumption,Urbanization rate,Sex-ratio,Country,dev_index,clusters
68,HTI,11541683.0,3127.41557125355,24.8,1.21295672991453,2.842,64.315,9.6,15.3,57.1,0.98,Haiti,0.2505671148596082,1
69,HND,10062994.0,6252.56913473546,8.8,1.58646313117201,2.394,75.448,2.1,24.7,58.4,0.95,Honduras,0.4509299219686225,2
70,HUN,9709886.0,36752.5154278913,2.1,-0.413802518369317,1.56,75.6170731707317,16.6,100.7,71.9,0.91,Hungary,0.5929236742790792,3
71,ISL,372295.0,57646.4098921361,1.0,1.57889895080682,1.72,83.0658536585366,11.9,84.8,93.9,1.0,Iceland,0.6793398010753242,4
72,IND,1393409033.0,7333.505611842,20.3,0.966660959674886,2.184,69.887,12.7,5.2,34.9,1.08,India,0.30947262155578575,1
73,IDN,276361788.0,12904.3350647553,11.7,1.03228496581837,2.266,71.908,2.4,8.3,56.6,1.0,Indonesia,0.4246247668556562,2
74,IRN,85028760.0,15791.1595076543,8.3,1.22566497360769,2.142,76.87,5.2,23.1,75.9,1.03,Iran,0.4732469627840216,2
75,IRQ,41179351.0,10408.9438771786,14.4,2.3510326269574,3.537,70.748,3.6,18.2,70.9,1.01,Iraq,0.3871888434318099,2
76,IRL,5028230.0,106455.753025944,2.0,0.849943362511361,1.63,82.2048780487805,9.6,106.3,63.7,1.0,Ireland,0.8817476810772851,4
77,ISR,9364000.0,43721.6230389199,1.9,1.6029106693811,2.9,82.7,5.3,97.1,92.6,1.01,Israel,0.6212043944775204,4
78,ITA,59066225.0,45935.9965539678,1.7,-0.646839479109187,1.24,82.3439024390244,6.7,90.4,71.0,0.93,Italy,0.6305313455790997,4
79,JAM,2973462.0,10025.9047946926,9.3,0.414550936640991,1.95,74.586,2.4,56.8,56.3,0.98,Jamaica,0.45075899346704035,2
80,JPN,125681593.0,42940.4052523244,0.8,-0.459952415807642,1.34,84.6156097560976,15.3,45.9,91.8,0.94,Japan,0.6201168469575895,4
81,JOR,10269022.0,10952.010609113,8.8,0.643627453059963,2.639,74.655,1.6,29.8,91.4,1.11,Jordan,0.45795193669435186,2
82,KAZ,19002586.0,28599.9858781267,4.8,1.30791817342254,3.13,71.37,17.6,44.8,57.7,0.91,Kazakhstan,0.5509807211346526,3
83,KEN,54985702.0,5023.51127180751,20.5,2.23333202199775,3.365,66.991,6.1,14.3,28.0,1.0,Kenya,0.30615817738993545,1
84,KIR,121388.0,2171.86794306447,21.3,1.6127640555697,3.493,68.611,28.3,32.1,55.6,0.94,Kiribati,0.29507358348640716,1
85,KOR,51744876.0,46918.4748224493,1.5,-0.176408650734229,0.837,83.4268292682927,28.6,48.0,81.4,1.01,South Korea,0.6348472827302174,4
86,KWT,4328553.0,47303.1298528111,5.0,1.34876373590382,2.068,75.586,2.9,60.2,,1.38,Kuwait,0.6304978887395067,4
87,KGZ,6694200.0,5287.79066976613,11.7,1.72219321916994,3.0,71.8,7.4,39.0,36.9,0.96,Kyrgyzstan,0.41690302357861575,2
88,LAO,7379358.0,8674.03369483136,21.7,1.41664067043824,2.583,68.219,5.4,15.0,36.3,0.99,Laos,0.2918169129258538,1
89,LVA,1883162.0,34468.6021095498,2.3,-0.913789514311347,1.55,75.3878048780488,20.1,45.7,68.3,0.86,Latvia,0.583460221040341,3
90,LBN,6769151.0,10691.21531579,4.0,-0.828142802249599,2.06,79.004,2.8,63.1,88.9,1.0,Lebanon,0.5001197146184514,3
91,LSO,2159067.0,2682.23552809652,44.3,0.781857177224739,3.07,54.836,72.4,15.4,29.0,0.98,Lesotho,0.0,0
92,LBR,5180208.0,1552.80721166626,30.6,2.39379229295907,4.183,64.423,4.5,7.9,52.1,1.0,Liberia,0.17591294269570312,0
93,LBY,6958538.0,23356.604957775,6.0,1.26179698763469,2.175,73.082,4.5,28.6,80.7,1.05,Libya,0.5222428437547736,3
94,LTU,2795321.0,42665.3229305411,1.9,0.0155987096319475,1.48,74.9292682926829,26.1,49.5,68.0,0.86,Lithuania,0.6169387616652368,4
95,LUX,639070.0,134753.797686064,1.7,1.36293168602864,1.37,81.7414634146342,11.3,141.7,91.5,1.02,Luxembourg,1.0,4
96,MDG,28427333.0,1635.4180120781,20.3,2.62429751115524,3.976,67.39,5.5,17.6,38.5,1.0,Madagascar,0.3076311125384753,1
97,MWI,19647681.0,1658.33441792543,19.1,2.67038849605396,4.055,64.694,5.4,5.1,17.4,0.98,Malawi,0.3228498368131001,1
98,MYS,32776195.0,29617.2967566026,4.6,1.25940624006456,1.965,76.306,5.7,50.9,77.2,1.03,Malaysia,0.5560748082863315,3
99,MDV,543620.0,18232.2447260345,4.1,0.567813347057597,1.815,79.208,2.7,16.6,40.7,1.13,Maldives,0.5181725411506807,3
100,MLI,20855724.0,2447.324282737,31.6,2.94324650521476,5.693,59.692,4.1,19.0,43.9,0.95,Mali,0.16319684865440753,0
101,MLT,516869.0,47714.4521686333,4.3,0.297810433430012,1.13,82.6536585365854,6.1,86.9,94.7,1.01,Malta,0.63348726953275,4
102,MHL,59618.0,4181.48722800111,14.2,0.713735649503594,4.05,65.2390243902439,,,77.8,1.03,Marshall Islands,0.3855597418593777,2
103,MRT,4775110.0,5591.83473986426,31.2,2.66229116701455,4.449,65.129,3.1,29.9,55.3,0.93,Mauritania,0.16875480775978946,0
104,MUS,1266060.0,22240.1349561848,10.5,0.0252784581486637,1.44,74.1770731707317,9.5,39.6,40.8,0.96,Mauritius,0.4568798731954396,2
105,MEX,130262220.0,20036.4553884275,8.4,1.02585219436564,2.079,75.131,5.3,58.6,80.7,0.96,Mexico,0.4834823649951342,2
106,FSM,116255.0,3544.22464263924,12.9,1.06713339072542,2.968,68.002,28.2,,,0.97,Micronesia,0.40102890686966386,2
107,MDA,2573928.0,15637.2403720663,10.6,-1.7930094470707,1.278,72.006,14.7,22.7,42.8,0.96,Moldova,0.442900084111098,2
108,MNG,3329282.0,12862.746927421,7.9,1.54341100674543,2.834,70.056,17.9,108.8,68.7,0.95,Mongolia,0.47150941129965535,2
109,MNE,620173.0,22795.4072702571,1.1,-0.18252428185257,1.75,75.9317073170732,21.0,,67.5,0.97,Montenegro,0.546547179289918,3
110,MAR,37344787.0,8143.525390625,11.5,1.16956954361151,2.353,76.901,7.2,20.6,63.5,1.0,Morocco,0.4220787660190285,2
111,MOZ,32163045.0,1342.29012106273,28.3,2.8624841604369,4.713,61.387,13.6,5.6,37.1,0.97,Mozambique,0.20537687813482355,1
112,MMR,54806014.0,4344.94316820411,22.3,0.72557580360979,2.121,67.363,2.9,10.7,31.1,0.97,Myanmar,0.28289785310904275,1
113,NAM,2587344.0,9805.18187897016,20.1,1.8107220978544,3.293,64.045,9.7,34.0,52.0,0.96,Namibia,0.3128817312817387,1
114,NRU,10873.0,15102.6610390683,18.3,0.359331477990521,,,,,100.0,0.88,Nauru,0.33846679821638065,1
115,NPL,29674920.0,4260.8396940912,16.9,1.82999900040487,1.845,71.067,9.0,10.0,20.6,0.96,Nepal,0.35174811781147103,1
116,NLD,17533405.0,63766.8871132125,2.7,0.525549456310375,1.55,81.409756097561,11.8,89.3,92.2,0.98,Netherlands,0.7030171442567309,4
117,NZL,5122600.0,46419.5086997581,2.6,0.634500013694567,1.61,82.0560975609756,11.0,142.1,86.7,1.0,New Zealand,0.6309788900262121,4
118,NIC,6702379.0,6331.67249916797,9.4,1.16794891482839,2.349,74.697,4.4,14.9,59.0,0.95,Nicaragua,0.4445594192911672,2
119,NER,25130810.0,1309.8144985003,24.1,3.7467772978966,6.735,62.792,5.3,11.2,16.6,0.98,Niger,0.25912515143212855,1
120,NGA,211400704.0,5459.15859838337,35.5,2.52018574964785,5.248,55.018,3.5,8.6,52.0,1.02,Nigeria,0.1134067724545104,0
121,MKD,2065092.0,17918.0770676768,3.9,-0.359578821721077,1.3,75.6931707317073,9.4,35.4,58.5,0.99,North Macedonia,0.5184983542188989,3
122,NOR,5408320.0,79201.23024678,1.3,0.534772281874925,1.48,83.209756097561,11.8,61.7,83.0,1.02,Norway,0.7683725590829614,4
123,OMN,5223376.0,31117.7577060692,4.9,2.26058072714604,2.783,78.078,4.9,49.8,86.3,1.18,Oman,0.5610131009880174,3
124,PAK,225199929.0,5877.64257977287,40.4,1.93131882333006,3.394,67.428,8.9,12.3,37.2,1.04,Pakistan,0.050391918794822195,0
125,PLW,18174.0,16318.6789479118,8.9,0.452214965755851,2.21,69.1292682926829,,,81.0,1.07,Palau,0.4669194734549458,2
126,PAN,4381583.0,31680.1860110126,8.0,1.53665174614508,2.415,78.68,2.9,54.5,68.4,1.01,Panama,0.5470840156040696,3
127,PNG,9119005.0,4445.36476879927,21.5,1.9039398924888,3.477,64.725,3.0,73.0,13.3,1.04,Papua New Guinea,0.2931751713552307,1
128,PRY,7219641.0,13975.858226826,10.0,1.21392184813006,2.383,74.363,6.0,70.3,62.2,1.0,Paraguay,0.4482672230805414,2
129,PER,33359416.0,13895.2758164137,6.7,1.16860255316618,2.212,76.947,2.8,34.5,78.3,0.96,Peru,0.4860899432333137,2
130,PHL,111046910.0,9119.69335803543,12.6,1.32879471462686,2.49,71.36,2.2,31.1,47.4,1.01,Philippines,0.4092831742420535,2
131,POL,37781024.0,37502.5598711804,2.7,-0.311960753470552,1.38,76.6,11.3,78.1,60.0,0.94,Poland,0.5943864932234436,3
132,PRT,10299423.0,35888.1653780986,1.8,0.0227417236448834,1.4,80.9756097560976,11.5,91.1,66.3,0.9,Portugal,0.5903154935113032,3
133,QAT,2930524.0,93521.4417979602,3.5,1.70229646419473,1.827,80.363,5.8,90.5,99.2,3.39,Qatar,0.8271005218921047,4
134,ROU,19115146.0,35413.9905779938,3.5,-0.742062870100068,1.6,74.3536585365854,9.7,54.5,56.4,0.95,Romania,0.5837550013725291,3
135,RUS,143446060.0,32803.35546875,2.3,-0.436200432159658,1.505,71.3387804878049,25.1,51.0,74.8,0.86,Russia,0.5770389311990456,3
136,RWA,13276517.0,2494.05057169716,17.9,2.47304828028797,3.926,69.329,5.6,4.4,17.4,0.96,Rwanda,0.33833759955310155,1
137,WSM,200144.0,6420.3544565388,6.7,0.870151066600651,3.785,73.45,12.6,82.6,,1.04,Samoa,0.47156639105511755,2
138,SMR,34010.0,59571.9068046212,0.8,0.211926846846953,1.26,,,,97.5,0.94,San Marino,0.6874612031334557,4
139,STP,223364.0,4445.9295598735,7.8,1.89961081868689,4.214,70.583,1.5,9.6,,1.0,Sao Tome and Principe,0.45849605185590037,2
140,SAU,35340680.0,49551.3345710076,3.5,1.50189239379077,2.238,75.28,6.0,44.6,84.3,1.3,Saudi Arabia,0.6425494137580762,4
141,SEN,17196308.0,3768.66714912817,20.6,2.66589050828054,4.491,68.213,6.0,17.7,48.1,0.94,Senegal,0.3044837640555623,1
142,SRB,6844078.0,21432.4103390487,3.6,-0.80109841046929,1.48,74.2292682926829,11.4,,56.4,0.95,Serbia,0.530900604357018,3
143,SYC,99202.0,29837.4618769631,8.4,0.748748843677374,2.29,77.2365853658537,8.1,51.1,57.5,1.07,Seychelles,0.5329601358192451,3
144,SLE,8141343.0,1816.17027050934,31.4,2.03946335994037,4.077,55.066,6.7,6.1,42.9,0.95,Sierra Leone,0.1656818997530963,0
